plan_id,production_date,line_id,model_id,shift,planned_quantity
P000125,2026-01-08,L007,M008,白班,43
P000126,2026-01-08,L007,M008,夜班,48
P000127,2026-01-08,L008,M002,白班,77
P000128,2026-01-08,L008,M007,夜班,65
P000129,2026-01-09,L001,M001,白班,85
P000130,2026-01-09,L001,M002,夜班,79
P000131,2026-01-09,L002,M004,白班,79
P000132,2026-01-09,L002,M003,夜班,65
P000133,2026-01-09,L003,M003,白班,65
P000134,2026-01-09,L003,M004,夜班,73
P000135,2026-01-09,L004,M002,白班,57
P000136,2026-01-09,L004,M002,夜班,58
P000137,2026-01-09,L005,M005,白班,57
P000138,2026-01-09,L005,M005,夜班,59
P000139,2026-01-09,L006,M006,白班,54
P000140,2026-01-09,L006,M006,夜班,51
P000141,2026-01-09,L007,M008,白班,47
P000142,2026-01-09,L007,M008,夜班,51
P000143,2026-01-09,L008,M006,白班,81
P000144,2026-01-09,L008,M008,夜班,78
P000145,2026-01-10,L001,M002,白班,78
P000146,2026-01-10,L001,M002,夜班,75
P000147,2026-01-10,L002,M004,白班,69
P000148,2026-01-10,L002,M004,夜班,69
P000149,2026-01-10,L003,M003,白班,60
P000150,2026-01-10,L003,M004,夜班,69
P000151,2026-01-10,L004,M002,白班,52
P000152,2026-01-10,L004,M001,夜班,52
P000153,2026-01-10,L005,M005,白班,43
P000154,2026-01-10,L005,M005,夜班,44
P000155,2026-01-10,L006,M005,白班,43
P000156,2026-01-10,L006,M006,夜班,49
P000157,2026-01-10,L007,M008,白班,38
P000158,2026-01-10,L007,M007,夜班,46
P000159,2026-01-10,L008,M003,白班,66
P000160,2026-01-10,L008,M003,夜班,72
P000161,2026-01-11,L001,M002,白班,62
P000162,2026-01-11,L001,M002,夜班,63
P000163,2026-01-11,L002,M003,白班,46
P000164,2026-01-11,L002,M004,夜班,49
P000165,2026-01-11,L003,M004,白班,48
P000166,2026-01-11,L003,M004,夜班,46
P000167,2026-01-11,L004,M002,白班,50
P000168,2026-01-11,L004,M001,夜班,46
P000169,2026-01-11,L005,M005,白班,37
P000170,2026-01-11,L005,M005,夜班,36
P000171,2026-01-11,L006,M006,白班,40
P000172,2026-01-11,L006,M006,夜班,38
P000173,2026-01-11,L007,M007,白班,35
P000174,2026-01-11,L007,M008,夜班,36
P000175,2026-01-11,L008,M006,白班,56
P000176,2026-01-11,L008,M002,夜班,53
P000177,2026-01-12,L001,M001,白班,85
P000178,2026-01-12,L001,M002,夜班,92
P000179,2026-01-12,L002,M004,白班,66
P000180,2026-01-12,L002,M004,夜班,81
P000181,2026-01-12,L003,M004,白班,61
P000182,2026-01-12,L003,M004,夜班,64
P000183,2026-01-12,L004,M002,白班,61
P000184,2026-01-12,L004,M002,夜班,64
P000185,2026-01-12,L005,M005,白班,48
P000186,2026-01-12,L005,M006,夜班,54
P000187,2026-01-12,L006,M006,白班,56
P000188,2026-01-12,L006,M006,夜班,48
P000189,2026-01-12,L007,M008,白班,47
P000190,2026-01-12,L007,M007,夜班,43
P000191,2026-01-12,L008,M003,白班,71
P000192,2026-01-12,L008,M001,夜班,66
P000193,2026-01-13,L001,M001,白班,79
P000194,2026-01-13,L001,M002,夜班,76
P000195,2026-01-13,L002,M003,白班,71
P000196,2026-01-13,L002,M004,夜班,77
P000197,2026-01-13,L003,M004,白班,65
P000198,2026-01-13,L003,M004,夜班,65
P000199,2026-01-13,L004,M002,白班,58
P000200,2026-01-13,L004,M002,夜班,64
P000201,2026-01-13,L005,M006,白班,48
P000202,2026-01-13,L005,M006,夜班,60
P000203,2026-01-13,L006,M006,白班,58
P000204,2026-01-13,L006,M006,夜班,51
P000205,2026-01-13,L007,M008,白班,48
P000206,2026-01-13,L007,M007,夜班,49
P000207,2026-01-13,L008,M006,白班,81
P000208,2026-01-13,L008,M002,夜班,65
P000209,2026-01-14,L001,M001,白班,81
P000210,2026-01-14,L001,M002,夜班,85
P000211,2026-01-14,L002,M004,白班,70
P000212,2026-01-14,L002,M003,夜班,74
P000213,2026-01-14,L003,M003,白班,62
P000214,2026-01-14,L003,M004,夜班,72
P000215,2026-01-14,L004,M001,白班,65
P000216,2026-01-14,L004,M002,夜班,58
P000217,2026-01-14,L005,M005,白班,57
P000218,2026-01-14,L005,M006,夜班,52
P000219,2026-01-14,L006,M005,白班,47
P000220,2026-01-14,L006,M005,夜班,57
P000221,2026-01-14,L007,M007,白班,41
P000222,2026-01-14,L007,M008,夜班,41
P000223,2026-01-14,L008,M001,白班,66
P000224,2026-01-14,L008,M003,夜班,65
P000225,2026-01-15,L001,M001,白班,86
P000226,2026-01-15,L001,M002,夜班,79
P000227,2026-01-15,L002,M004,白班,66
P000228,2026-01-15,L002,M003,夜班,74
P000229,2026-01-15,L003,M004,白班,61
P000230,2026-01-15,L003,M004,夜班,73
P000231,2026-01-15,L004,M002,白班,71
P000232,2026-01-15,L004,M001,夜班,57
P000233,2026-01-15,L005,M005,白班,49
P000234,2026-01-15,L005,M005,夜班,49
P000235,2026-01-15,L006,M005,白班,48
P000236,2026-01-15,L006,M005,夜班,45
P000237,2026-01-15,L007,M008,白班,44
P000238,2026-01-15,L007,M007,夜班,51
P000239,2026-01-15,L008,M004,白班,65
P000240,2026-01-15,L008,M004,夜班,67
P000241,2026-01-16,L001,M002,白班,92
P000242,2026-01-16,L001,M002,夜班,87
P000243,2026-01-16,L002,M003,白班,81
P000244,2026-01-16,L002,M004,夜班,67
P000245,2026-01-16,L003,M003,白班,65
P000246,2026-01-16,L003,M004,夜班,68
P000247,2026-01-16,L004,M001,白班,69
P000248,2026-01-16,L004,M002,夜班,57
P000249,2026-01-16,L005,M005,白班,58
P000250,2026-01-16,L005,M005,夜班,52
P000251,2026-01-16,L006,M006,白班,49
P000252,2026-01-16,L006,M006,夜班,57
P000253,2026-01-16,L007,M007,白班,48
P000254,2026-01-16,L007,M007,夜班,45
P000255,2026-01-16,L008,M008,白班,67
P000256,2026-01-16,L008,M003,夜班,71
P000257,2026-01-17,L001,M001,白班,82
P000258,2026-01-17,L001,M002,夜班,81
P000259,2026-01-17,L002,M004,白班,70
P000260,2026-01-17,L002,M003,夜班,68
P000261,2026-01-17,L003,M003,白班,69
P000262,2026-01-17,L003,M003,夜班,57
P000263,2026-01-17,L004,M001,白班,56
P000264,2026-01-17,L004,M002,夜班,53
P000265,2026-01-17,L005,M005,白班,44
P000266,2026-01-17,L005,M005,夜班,43
P000267,2026-01-17,L006,M005,白班,52
P000268,2026-01-17,L006,M006,夜班,43
P000269,2026-01-17,L007,M007,白班,40
P000270,2026-01-17,L007,M007,夜班,44
P000271,2026-01-17,L008,M003,白班,72
P000272,2026-01-17,L008,M002,夜班,66
P000273,2026-01-18,L001,M001,白班,54
P000274,2026-01-18,L001,M001,夜班,53
P000275,2026-01-18,L002,M003,白班,54
P000276,2026-01-18,L002,M003,夜班,47
P000277,2026-01-18,L003,M004,白班,44
P000278,2026-01-18,L003,M004,夜班,46
P000279,2026-01-18,L004,M001,白班,49
P000280,2026-01-18,L004,M001,夜班,43
P000281,2026-01-18,L005,M006,白班,36
P000282,2026-01-18,L005,M006,夜班,41
P000283,2026-01-18,L006,M006,白班,35
P000284,2026-01-18,L006,M006,夜班,39
P000285,2026-01-18,L007,M007,白班,33
P000286,2026-01-18,L007,M008,夜班,30
P000287,2026-01-18,L008,M002,白班,55
P000288,2026-01-18,L008,M007,夜班,47
P000289,2026-01-19,L001,M001,白班,78
P000290,2026-01-19,L001,M002,夜班,76
P000291,2026-01-19,L002,M004,白班,70
P000292,2026-01-19,L002,M003,夜班,80
P000293,2026-01-19,L003,M003,白班,66
P000294,2026-01-19,L003,M003,夜班,68
P000295,2026-01-19,L004,M001,白班,67
P000296,2026-01-19,L004,M001,夜班,56
P000297,2026-01-19,L005,M005,白班,58
P000298,2026-01-19,L005,M006,夜班,60
P000299,2026-01-19,L006,M005,白班,50
P000300,2026-01-19,L006,M006,夜班,51
P000301,2026-01-19,L007,M008,白班,49
P000302,2026-01-19,L007,M007,夜班,51
P000303,2026-01-19,L008,M007,白班,70
P000304,2026-01-19,L008,M003,夜班,68
P000305,2026-01-20,L001,M002,白班,78
P000306,2026-01-20,L001,M001,夜班,85
P000307,2026-01-20,L002,M003,白班,80
P000308,2026-01-20,L002,M003,夜班,68
P000309,2026-01-20,L003,M004,白班,66
P000310,2026-01-20,L003,M004,夜班,65
P000311,2026-01-20,L004,M001,白班,60
P000312,2026-01-20,L004,M002,夜班,60
P000313,2026-01-20,L005,M005,白班,57
P000314,2026-01-20,L005,M005,夜班,56
P000315,2026-01-20,L006,M005,白班,46
P000316,2026-01-20,L006,M006,夜班,46
P000317,2026-01-20,L007,M008,白班,44
P000318,2026-01-20,L007,M007,夜班,45
P000319,2026-01-20,L008,M005,白班,65
P000320,2026-01-20,L008,M008,夜班,68
P000321,2026-01-21,L001,M002,白班,73
P000322,2026-01-21,L001,M001,夜班,92
P000323,2026-01-21,L002,M004,白班,76
P000324,2026-01-21,L002,M003,夜班,68
P000325,2026-01-21,L003,M004,白班,61
P000326,2026-01-21,L003,M003,夜班,63
P000327,2026-01-21,L004,M002,白班,67
P000328,2026-01-21,L004,M002,夜班,61
P000329,2026-01-21,L005,M006,白班,59
P000330,2026-01-21,L005,M006,夜班,59
P000331,2026-01-21,L006,M005,白班,50
P000332,2026-01-21,L006,M006,夜班,55
P000333,2026-01-21,L007,M007,白班,47
P000334,2026-01-21,L007,M008,夜班,50
P000335,2026-01-21,L008,M005,白班,75
P000336,2026-01-21,L008,M007,夜班,67
P000337,2026-01-22,L001,M002,白班,78
P000338,2026-01-22,L001,M001,夜班,76
P000339,2026-01-22,L002,M003,白班,70
P000340,2026-01-22,L002,M003,夜班,79
P000341,2026-01-22,L003,M004,白班,75
P000342,2026-01-22,L003,M003,夜班,73
P000343,2026-01-22,L004,M002,白班,61
P000344,2026-01-22,L004,M002,夜班,63
P000345,2026-01-22,L005,M005,白班,49
P000346,2026-01-22,L005,M006,夜班,57
P000347,2026-01-22,L006,M005,白班,57
P000348,2026-01-22,L006,M006,夜班,45
P000349,2026-01-22,L007,M008,白班,44
P000350,2026-01-22,L007,M007,夜班,50
P000351,2026-01-22,L008,M002,白班,66
P000352,2026-01-22,L008,M006,夜班,66
P000353,2026-01-23,L001,M002,白班,78
P000354,2026-01-23,L001,M002,夜班,84
P000355,2026-01-23,L002,M004,白班,74
P000356,2026-01-23,L002,M003,夜班,80
P000357,2026-01-23,L003,M004,白班,71
P000358,2026-01-23,L003,M003,夜班,70
P000359,2026-01-23,L004,M001,白班,65
P000360,2026-01-23,L004,M001,夜班,57
P000361,2026-01-23,L005,M006,白班,60
P000362,2026-01-23,L005,M005,夜班,58
P000363,2026-01-23,L006,M006,白班,52
P000364,2026-01-23,L006,M006,夜班,51
P000365,2026-01-23,L007,M008,白班,45
P000366,2026-01-23,L007,M008,夜班,44
P000367,2026-01-23,L008,M002,白班,81
P000368,2026-01-23,L008,M003,夜班,72
P000369,2026-01-24,L001,M002,白班,81
P000370,2026-01-24,L001,M001,夜班,76
P000371,2026-01-24,L002,M004,白班,60
P000372,2026-01-24,L002,M004,夜班,72
P000373,2026-01-24,L003,M003,白班,56
P000374,2026-01-24,L003,M004,夜班,66
P000375,2026-01-24,L004,M002,白班,62
P000376,2026-01-24,L004,M001,夜班,55
P000377,2026-01-24,L005,M005,白班,54
P000378,2026-01-24,L005,M005,夜班,49
P000379,2026-01-24,L006,M005,白班,43
P000380,2026-01-24,L006,M005,夜班,50
P000381,2026-01-24,L007,M008,白班,43
P000382,2026-01-24,L007,M007,夜班,37
P000383,2026-01-24,L008,M001,白班,73
P000384,2026-01-24,L008,M007,夜班,58
P000385,2026-01-25,L001,M001,白班,60
P000386,2026-01-25,L001,M001,夜班,54
P000387,2026-01-25,L002,M004,白班,47
P000388,2026-01-25,L002,M004,夜班,50
P000389,2026-01-25,L003,M004,白班,44
P000390,2026-01-25,L003,M004,夜班,45
P000391,2026-01-25,L004,M001,白班,42
P000392,2026-01-25,L004,M002,夜班,44
P000393,2026-01-25,L005,M006,白班,36
P000394,2026-01-25,L005,M006,夜班,41
P000395,2026-01-25,L006,M005,白班,38
P000396,2026-01-25,L006,M006,夜班,35
P000397,2026-01-25,L007,M007,白班,34
P000398,2026-01-25,L007,M007,夜班,34
P000399,2026-01-25,L008,M008,白班,50
P000400,2026-01-25,L008,M003,夜班,52
P000401,2026-01-26,L001,M002,白班,78
P000402,2026-01-26,L001,M002,夜班,73
P000403,2026-01-26,L002,M004,白班,65
P000404,2026-01-26,L002,M003,夜班,67
P000405,2026-01-26,L003,M004,白班,70
P000406,2026-01-26,L003,M004,夜班,72
P000407,2026-01-26,L004,M001,白班,59
P000408,2026-01-26,L004,M002,夜班,67
P000409,2026-01-26,L005,M006,白班,54
P000410,2026-01-26,L005,M006,夜班,60
P000411,2026-01-26,L006,M006,白班,46
P000412,2026-01-26,L006,M006,夜班,47
P000413,2026-01-26,L007,M008,白班,47
P000414,2026-01-26,L007,M008,夜班,48
P000415,2026-01-26,L008,M001,白班,78
P000416,2026-01-26,L008,M004,夜班,71
P000417,2026-01-27,L001,M002,白班,77
P000418,2026-01-27,L001,M001,夜班,89
P000419,2026-01-27,L002,M004,白班,65
P000420,2026-01-27,L002,M004,夜班,73
P000421,2026-01-27,L003,M003,白班,63
P000422,2026-01-27,L003,M003,夜班,75
P000423,2026-01-27,L004,M002,白班,66
P000424,2026-01-27,L004,M001,夜班,66
P000425,2026-01-27,L005,M005,白班,51
P000426,2026-01-27,L005,M005,夜班,48
P000427,2026-01-27,L006,M005,白班,50
P000428,2026-01-27,L006,M006,夜班,48
P000429,2026-01-27,L007,M008,白班,46
P000430,2026-01-27,L007,M008,夜班,52
P000431,2026-01-27,L008,M004,白班,76
P000432,2026-01-27,L008,M002,夜班,67
P000433,2026-01-28,L001,M002,白班,86
P000434,2026-01-28,L001,M002,夜班,93
P000435,2026-01-28,L002,M003,白班,82
P000436,2026-01-28,L002,M004,夜班,66
P000437,2026-01-28,L003,M004,白班,69
P000438,2026-01-28,L003,M003,夜班,73
P000439,2026-01-28,L004,M001,白班,62
P000440,2026-01-28,L004,M002,夜班,64
P000441,2026-01-28,L005,M006,白班,47
P000442,2026-01-28,L005,M006,夜班,58
P000443,2026-01-28,L006,M006,白班,52
P000444,2026-01-28,L006,M006,夜班,51
P000445,2026-01-28,L007,M008,白班,46
P000446,2026-01-28,L007,M007,夜班,46
P000447,2026-01-28,L008,M005,白班,72
P000448,2026-01-28,L008,M002,夜班,73
P000449,2026-01-29,L001,M001,白班,89
P000450,2026-01-29,L001,M002,夜班,93
P000451,2026-01-29,L002,M004,白班,67
P000452,2026-01-29,L002,M004,夜班,73
P000453,2026-01-29,L003,M004,白班,61
P000454,2026-01-29,L003,M003,夜班,72
P000455,2026-01-29,L004,M001,白班,60
P000456,2026-01-29,L004,M001,夜班,66
P000457,2026-01-29,L005,M006,白班,51
P000458,2026-01-29,L005,M006,夜班,60
P000459,2026-01-29,L006,M005,白班,53
P000460,2026-01-29,L006,M005,夜班,46
P000461,2026-01-29,L007,M008,白班,43
P000462,2026-01-29,L007,M008,夜班,44
P000463,2026-01-29,L008,M007,白班,80
P000464,2026-01-29,L008,M006,夜班,76
P000465,2026-01-30,L001,M001,白班,88
P000466,2026-01-30,L001,M001,夜班,89
P000467,2026-01-30,L002,M004,白班,75
P000468,2026-01-30,L002,M004,夜班,73
P000469,2026-01-30,L003,M003,白班,62
P000470,2026-01-30,L003,M003,夜班,65
P000471,2026-01-30,L004,M001,白班,67
P000472,2026-01-30,L004,M001,夜班,67
P000473,2026-01-30,L005,M005,白班,55
P000474,2026-01-30,L005,M006,夜班,58
P000475,2026-01-30,L006,M006,白班,47
P000476,2026-01-30,L006,M005,夜班,53
P000477,2026-01-30,L007,M007,白班,47
P000478,2026-01-30,L007,M008,夜班,44
P000479,2026-01-30,L008,M005,白班,73
P000480,2026-01-30,L008,M005,夜班,67
P000481,2026-01-31,L001,M002,白班,80
P000482,2026-01-31,L001,M001,夜班,77
P000483,2026-01-31,L002,M003,白班,68
P000484,2026-01-31,L002,M004,夜班,73
P000485,2026-01-31,L003,M004,白班,57
P000486,2026-01-31,L003,M004,夜班,61
P000487,2026-01-31,L004,M001,白班,58
P000488,2026-01-31,L004,M002,夜班,53
P000489,2026-01-31,L005,M005,白班,47
P000490,2026-01-31,L005,M006,夜班,52
P000491,2026-01-31,L006,M005,白班,45
P000492,2026-01-31,L006,M006,夜班,43
P000493,2026-01-31,L007,M007,白班,38
P000494,2026-01-31,L007,M007,夜班,45
P000495,2026-01-31,L008,M007,白班,60
P000496,2026-01-31,L008,M006,夜班,69
P000497,2026-02-01,L001,M001,白班,62
P000498,2026-02-01,L001,M001,夜班,55
P000499,2026-02-01,L002,M003,白班,48
P000500,2026-02-01,L002,M004,夜班,45
P000501,2026-02-01,L003,M003,白班,50
P000502,2026-02-01,L003,M003,夜班,50
P000503,2026-02-01,L004,M002,白班,46
P000504,2026-02-01,L004,M002,夜班,43
P000505,2026-02-01,L005,M005,白班,37
P000506,2026-02-01,L005,M005,夜班,37
P000507,2026-02-01,L006,M006,白班,36
P000508,2026-02-01,L006,M006,夜班,32
P000509,2026-02-01,L007,M008,白班,36
P000510,2026-02-01,L007,M007,夜班,35
P000511,2026-02-01,L008,M001,白班,45
P000512,2026-02-01,L008,M002,夜班,51
P000513,2026-02-02,L001,M001,白班,83
P000514,2026-02-02,L001,M001,夜班,86
P000515,2026-02-02,L002,M003,白班,69
P000516,2026-02-02,L002,M003,夜班,70
P000517,2026-02-02,L003,M004,白班,65
P000518,2026-02-02,L003,M004,夜班,74
P000519,2026-02-02,L004,M002,白班,62
P000520,2026-02-02,L004,M002,夜班,60
P000521,2026-02-02,L005,M005,白班,58
P000522,2026-02-02,L005,M006,夜班,57
P000523,2026-02-02,L006,M006,白班,58
P000524,2026-02-02,L006,M005,夜班,54
P000525,2026-02-02,L007,M007,白班,48
P000526,2026-02-02,L007,M008,夜班,43
P000527,2026-02-02,L008,M007,白班,72
P000528,2026-02-02,L008,M007,夜班,72
P000529,2026-02-03,L001,M002,白班,86
P000530,2026-02-03,L001,M001,夜班,81
P000531,2026-02-03,L002,M004,白班,77
P000532,2026-02-03,L002,M004,夜班,82
P000533,2026-02-03,L003,M003,白班,70
P000534,2026-02-03,L003,M003,夜班,73
P000535,2026-02-03,L004,M002,白班,58
P000536,2026-02-03,L004,M002,夜班,67
P000537,2026-02-03,L005,M006,白班,49
P000538,2026-02-03,L005,M005,夜班,60
P000539,2026-02-03,L006,M006,白班,56
P000540,2026-02-03,L006,M005,夜班,49
P000541,2026-02-03,L007,M008,白班,49
P000542,2026-02-03,L007,M007,夜班,45
P000543,2026-02-03,L008,M006,白班,82
P000544,2026-02-03,L008,M008,夜班,68
P000545,2026-02-04,L001,M001,白班,78
P000546,2026-02-04,L001,M001,夜班,74
P000547,2026-02-04,L002,M004,白班,81
P000548,2026-02-04,L002,M004,夜班,69
P000549,2026-02-04,L003,M004,白班,69
P000550,2026-02-04,L003,M003,夜班,63
P000551,2026-02-04,L004,M001,白班,66
P000552,2026-02-04,L004,M002,夜班,65
P000553,2026-02-04,L005,M006,白班,49
P000554,2026-02-04,L005,M005,夜班,48
P000555,2026-02-04,L006,M005,白班,54
P000556,2026-02-04,L006,M005,夜班,57
P000557,2026-02-04,L007,M008,白班,48
P000558,2026-02-04,L007,M008,夜班,50
P000559,2026-02-04,L008,M005,白班,65
P000560,2026-02-04,L008,M003,夜班,67
P000561,2026-02-05,L001,M001,白班,85
P000562,2026-02-05,L001,M001,夜班,76
P000563,2026-02-05,L002,M003,白班,73
P000564,2026-02-05,L002,M003,夜班,77
P000565,2026-02-05,L003,M003,白班,62
P000566,2026-02-05,L003,M003,夜班,71
P000567,2026-02-05,L004,M001,白班,59
P000568,2026-02-05,L004,M002,夜班,62
P000569,2026-02-05,L005,M005,白班,53
P000570,2026-02-05,L005,M006,夜班,54
P000571,2026-02-05,L006,M006,白班,52
P000572,2026-02-05,L006,M005,夜班,55
P000573,2026-02-05,L007,M007,白班,45
P000574,2026-02-05,L007,M007,夜班,44
P000575,2026-02-05,L008,M003,白班,78
P000576,2026-02-05,L008,M001,夜班,77
P000577,2026-02-06,L001,M001,白班,85
P000578,2026-02-06,L001,M001,夜班,78
P000579,2026-02-06,L002,M003,白班,72
P000580,2026-02-06,L002,M003,夜班,66
P000581,2026-02-06,L003,M004,白班,62
P000582,2026-02-06,L003,M003,夜班,68
P000583,2026-02-06,L004,M002,白班,66
P000584,2026-02-06,L004,M001,夜班,71
P000585,2026-02-06,L005,M005,白班,48
P000586,2026-02-06,L005,M006,夜班,53
P000587,2026-02-06,L006,M005,白班,54
P000588,2026-02-06,L006,M006,夜班,52
P000589,2026-02-06,L007,M008,白班,48
P000590,2026-02-06,L007,M008,夜班,48
P000591,2026-02-06,L008,M007,白班,69
P000592,2026-02-06,L008,M003,夜班,69
P000593,2026-02-07,L001,M002,白班,71
P000594,2026-02-07,L001,M001,夜班,82
P000595,2026-02-07,L002,M003,白班,69
P000596,2026-02-07,L002,M003,夜班,74
P000597,2026-02-07,L003,M003,白班,61
P000598,2026-02-07,L003,M003,夜班,57
P000599,2026-02-07,L004,M001,白班,52
P000600,2026-02-07,L004,M001,夜班,53
P000601,2026-02-07,L005,M006,白班,43
P000602,2026-02-07,L005,M005,夜班,48
P000603,2026-02-07,L006,M006,白班,48
P000604,2026-02-07,L006,M005,夜班,47
P000605,2026-02-07,L007,M008,白班,39
P000606,2026-02-07,L007,M008,夜班,43
P000607,2026-02-07,L008,M003,白班,66
P000608,2026-02-07,L008,M005,夜班,62
P000609,2026-02-08,L001,M002,白班,64
P000610,2026-02-08,L001,M002,夜班,62
P000611,2026-02-08,L002,M004,白班,54
P000612,2026-02-08,L002,M004,夜班,52
P000613,2026-02-08,L003,M003,白班,53
P000614,2026-02-08,L003,M004,夜班,49
P000615,2026-02-08,L004,M002,白班,49
P000616,2026-02-08,L004,M001,夜班,45
P000617,2026-02-08,L005,M005,白班,41
P000618,2026-02-08,L005,M005,夜班,42
P000619,2026-02-08,L006,M005,白班,33
