defect_id,defect_date,line_id,model_id,process,defect_type,defect_count,severity,rework_status
D000097,2026-01-06,L008,M006,检测,密封性异常,1,低,已返修
D000098,2026-01-06,L008,M007,检测,制动检测异常,4,低,返修中
D000099,2026-01-07,L001,M001,总装,螺栓扭矩不足,3,中,返修中
D000100,2026-01-07,L001,M001,总装,线束松动,3,低,已返修
D000101,2026-01-07,L002,M003,焊装,焊点虚焊,3,低,已返修
D000102,2026-01-07,L002,M003,焊装,焊缝气孔,3,低,已返修
D000103,2026-01-07,L003,M003,总装,线束松动,3,低,已返修
D000104,2026-01-07,L003,M004,总装,线束松动,1,低,返修中
D000105,2026-01-07,L004,M002,涂装,颗粒点,2,低,返修中
D000106,2026-01-07,L004,M001,涂装,色差,1,高,待确认
D000107,2026-01-07,L005,M005,总装,内饰装配偏差,2,低,待确认
D000108,2026-01-07,L005,M006,总装,线束松动,2,中,已返修
D000109,2026-01-07,L006,M005,焊装,焊缝气孔,1,中,已返修
D000110,2026-01-07,L006,M005,焊装,焊点虚焊,2,低,已返修
D000111,2026-01-07,L007,M008,总装,线束松动,3,中,待确认
D000112,2026-01-07,L007,M008,总装,内饰装配偏差,1,中,已返修
D000113,2026-01-07,L007,M007,总装,螺栓扭矩不足,3,低,已返修
D000114,2026-01-07,L008,M007,检测,电控报警,2,低,已返修
D000115,2026-01-07,L008,M008,检测,电控报警,3,低,待确认
D000116,2026-01-08,L001,M002,总装,螺栓扭矩不足,3,中,待确认
D000117,2026-01-08,L001,M001,总装,线束松动,1,低,已返修
D000118,2026-01-08,L002,M003,焊装,焊点虚焊,2,中,待确认
D000119,2026-01-08,L002,M003,焊装,焊缝气孔,2,中,返修中
D000120,2026-01-08,L003,M004,总装,内饰装配偏差,2,低,已返修
D000121,2026-01-08,L003,M004,总装,螺栓扭矩不足,3,低,已返修
D000122,2026-01-08,L004,M002,涂装,漆面流挂,2,高,已返修
D000123,2026-01-08,L004,M002,涂装,漆面流挂,1,高,已返修
D000124,2026-01-08,L005,M005,总装,内饰装配偏差,1,低,已返修
D000125,2026-01-08,L005,M006,总装,螺栓扭矩不足,1,中,已返修
D000126,2026-01-08,L006,M006,焊装,焊点虚焊,3,低,已返修
D000127,2026-01-08,L006,M006,焊装,焊缝气孔,2,高,已返修
D000128,2026-01-08,L007,M008,总装,螺栓扭矩不足,3,低,已返修
D000129,2026-01-08,L007,M008,总装,螺栓扭矩不足,3,中,已返修
D000130,2026-01-08,L008,M002,检测,电控报警,2,低,已返修
D000131,2026-01-08,L008,M007,检测,密封性异常,4,中,已返修
D000132,2026-01-09,L001,M001,总装,螺栓扭矩不足,1,中,已返修
D000133,2026-01-09,L001,M002,总装,内饰装配偏差,3,中,返修中
D000134,2026-01-09,L002,M004,焊装,焊缝气孔,2,低,返修中
D000135,2026-01-09,L002,M003,焊装,零件错位,2,低,已返修
D000136,2026-01-09,L003,M003,总装,螺栓扭矩不足,2,低,已返修
D000137,2026-01-09,L003,M004,总装,内饰装配偏差,3,低,已返修
D000138,2026-01-09,L004,M002,涂装,漆面流挂,3,低,已返修
D000139,2026-01-09,L004,M002,涂装,漆面流挂,2,中,待确认
D000140,2026-01-09,L005,M005,总装,内饰装配偏差,1,低,已返修
D000141,2026-01-09,L005,M005,总装,螺栓扭矩不足,2,中,返修中
D000142,2026-01-09,L006,M006,焊装,焊缝气孔,2,低,已返修
D000143,2026-01-09,L006,M006,焊装,焊点虚焊,3,高,已返修
D000144,2026-01-09,L007,M008,总装,线束松动,2,中,已返修
D000145,2026-01-09,L007,M008,总装,螺栓扭矩不足,1,低,已返修
D000146,2026-01-09,L008,M006,检测,制动检测异常,2,低,待确认
D000147,2026-01-09,L008,M008,检测,密封性异常,3,低,已返修
D000148,2026-01-10,L001,M002,总装,线束松动,4,低,已返修
D000149,2026-01-10,L001,M002,总装,线束松动,3,中,已返修
D000150,2026-01-10,L001,M002,总装,内饰装配偏差,1,中,已返修
D000151,2026-01-10,L002,M004,焊装,焊点虚焊,2,低,已返修
D000152,2026-01-10,L002,M004,焊装,零件错位,2,低,已返修
D000153,2026-01-10,L003,M003,总装,螺栓扭矩不足,3,中,已返修
D000154,2026-01-10,L003,M003,总装,线束松动,1,中,已返修
D000155,2026-01-10,L003,M004,总装,线束松动,1,中,返修中
D000156,2026-01-10,L004,M002,涂装,色差,1,中,已返修
D000157,2026-01-10,L004,M001,涂装,颗粒点,1,中,已返修
D000158,2026-01-10,L005,M005,总装,螺栓扭矩不足,1,低,已返修
D000159,2026-01-10,L005,M005,总装,内饰装配偏差,1,中,返修中
D000160,2026-01-10,L006,M005,焊装,零件错位,3,高,已返修
D000161,2026-01-10,L006,M006,焊装,零件错位,3,低,已返修
D000162,2026-01-10,L007,M008,总装,螺栓扭矩不足,1,低,已返修
D000163,2026-01-10,L007,M007,总装,内饰装配偏差,3,低,返修中
D000164,2026-01-10,L008,M003,检测,密封性异常,1,中,已返修
D000165,2026-01-10,L008,M003,检测,电控报警,2,低,返修中
D000166,2026-01-11,L001,M002,总装,内饰装配偏差,3,中,已返修
D000167,2026-01-11,L001,M002,总装,螺栓扭矩不足,1,中,返修中
D000168,2026-01-11,L001,M002,总装,内饰装配偏差,3,中,待确认
D000169,2026-01-11,L002,M003,焊装,焊缝气孔,1,低,已返修
D000170,2026-01-11,L002,M004,焊装,零件错位,1,低,已返修
D000171,2026-01-11,L003,M004,总装,螺栓扭矩不足,1,低,返修中
D000172,2026-01-11,L003,M004,总装,螺栓扭矩不足,2,低,已返修
D000173,2026-01-11,L004,M002,涂装,漆面流挂,2,高,已返修
D000174,2026-01-11,L004,M001,涂装,颗粒点,1,中,已返修
D000175,2026-01-11,L005,M005,总装,螺栓扭矩不足,1,中,已返修
D000176,2026-01-11,L005,M005,总装,线束松动,1,低,已返修
D000177,2026-01-11,L006,M006,焊装,焊点虚焊,2,低,已返修
D000178,2026-01-11,L006,M006,焊装,零件错位,1,低,已返修
D000179,2026-01-11,L007,M007,总装,内饰装配偏差,1,低,已返修
D000180,2026-01-11,L007,M008,总装,线束松动,2,中,已返修
D000181,2026-01-11,L008,M006,检测,电控报警,2,低,已返修
D000182,2026-01-11,L008,M002,检测,制动检测异常,1,中,已返修
D000183,2026-01-12,L001,M001,总装,内饰装配偏差,4,中,已返修
D000184,2026-01-12,L001,M002,总装,线束松动,3,低,已返修
D000185,2026-01-12,L002,M004,焊装,焊缝气孔,2,中,返修中
D000186,2026-01-12,L002,M004,焊装,零件错位,4,低,已返修
D000187,2026-01-12,L003,M004,总装,内饰装配偏差,1,低,已返修
D000188,2026-01-12,L003,M004,总装,螺栓扭矩不足,3,低,已返修
D000189,2026-01-12,L004,M002,涂装,漆面流挂,4,高,已返修
D000190,2026-01-12,L004,M002,涂装,颗粒点,1,低,已返修
D000191,2026-01-12,L005,M005,总装,螺栓扭矩不足,3,低,已返修
D000192,2026-01-12,L005,M006,总装,内饰装配偏差,1,低,已返修
D000193,2026-01-12,L006,M006,焊装,零件错位,1,低,已返修
D000194,2026-01-12,L006,M006,焊装,焊缝气孔,2,低,已返修
D000195,2026-01-12,L007,M008,总装,线束松动,1,低,已返修
D000196,2026-01-12,L007,M007,总装,线束松动,3,中,已返修
D000197,2026-01-12,L008,M003,检测,制动检测异常,2,高,已返修
D000198,2026-01-12,L008,M001,检测,电控报警,3,低,已返修
D000199,2026-01-13,L001,M001,总装,螺栓扭矩不足,1,低,已返修
D000200,2026-01-13,L001,M002,总装,内饰装配偏差,2,低,返修中
D000201,2026-01-13,L002,M003,焊装,焊点虚焊,2,低,已返修
D000202,2026-01-13,L002,M004,焊装,零件错位,2,中,返修中
D000203,2026-01-13,L003,M004,总装,螺栓扭矩不足,1,低,返修中
D000204,2026-01-13,L003,M004,总装,内饰装配偏差,1,低,已返修
D000205,2026-01-13,L004,M002,涂装,色差,2,中,已返修
D000206,2026-01-13,L004,M002,涂装,色差,2,中,已返修
D000207,2026-01-13,L005,M006,总装,螺栓扭矩不足,3,高,待确认
D000208,2026-01-13,L005,M006,总装,线束松动,1,低,已返修
D000209,2026-01-13,L006,M006,焊装,零件错位,1,中,已返修
D000210,2026-01-13,L006,M006,焊装,零件错位,1,低,已返修
D000211,2026-01-13,L007,M008,总装,螺栓扭矩不足,1,低,已返修
D000212,2026-01-13,L007,M007,总装,螺栓扭矩不足,1,低,返修中
D000213,2026-01-13,L008,M006,检测,密封性异常,1,中,已返修
D000214,2026-01-13,L008,M002,检测,电控报警,4,中,已返修
D000215,2026-01-14,L001,M001,总装,内饰装配偏差,1,高,返修中
D000216,2026-01-14,L001,M002,总装,螺栓扭矩不足,4,中,返修中
D000217,2026-01-14,L001,M002,总装,线束松动,1,中,已返修
D000218,2026-01-14,L002,M004,焊装,零件错位,2,低,待确认
D000219,2026-01-14,L002,M003,焊装,焊点虚焊,4,中,待确认
D000220,2026-01-14,L003,M003,总装,螺栓扭矩不足,3,中,已返修
D000221,2026-01-14,L003,M004,总装,内饰装配偏差,2,低,已返修
D000222,2026-01-14,L004,M001,涂装,漆面流挂,3,低,已返修
D000223,2026-01-14,L004,M002,涂装,色差,3,低,已返修
D000224,2026-01-14,L005,M005,总装,线束松动,3,低,返修中
D000225,2026-01-14,L005,M006,总装,螺栓扭矩不足,2,高,已返修
D000226,2026-01-14,L006,M005,焊装,焊点虚焊,1,高,已返修
D000227,2026-01-14,L006,M005,焊装,焊点虚焊,1,低,已返修
D000228,2026-01-14,L007,M007,总装,线束松动,2,低,已返修
D000229,2026-01-14,L007,M008,总装,线束松动,1,低,已返修
D000230,2026-01-14,L008,M001,检测,密封性异常,3,低,返修中
D000231,2026-01-14,L008,M003,检测,制动检测异常,3,低,返修中
D000232,2026-01-15,L001,M001,总装,螺栓扭矩不足,2,中,待确认
D000233,2026-01-15,L001,M002,总装,内饰装配偏差,4,低,已返修
D000234,2026-01-15,L002,M004,焊装,零件错位,3,中,已返修
D000235,2026-01-15,L002,M003,焊装,零件错位,3,高,已返修
D000236,2026-01-15,L003,M004,总装,内饰装配偏差,3,低,已返修
D000237,2026-01-15,L003,M004,总装,螺栓扭矩不足,4,低,已返修
D000238,2026-01-15,L004,M002,涂装,漆面流挂,1,低,已返修
D000239,2026-01-15,L004,M001,涂装,颗粒点,3,中,已返修
D000240,2026-01-15,L005,M005,总装,内饰装配偏差,3,低,已返修
D000241,2026-01-15,L005,M005,总装,内饰装配偏差,1,中,已返修
D000242,2026-01-15,L006,M005,焊装,焊缝气孔,2,低,已返修
D000243,2026-01-15,L006,M005,焊装,焊缝气孔,1,低,已返修
D000244,2026-01-15,L007,M008,总装,线束松动,1,低,已返修
D000245,2026-01-15,L007,M007,总装,螺栓扭矩不足,1,中,返修中
D000246,2026-01-15,L008,M004,检测,电控报警,4,低,已返修
D000247,2026-01-15,L008,M004,检测,电控报警,3,低,已返修
D000248,2026-01-16,L001,M002,总装,螺栓扭矩不足,1,低,已返修
D000249,2026-01-16,L001,M002,总装,线束松动,3,低,已返修
D000250,2026-01-16,L002,M003,焊装,焊点虚焊,2,低,已返修
D000251,2026-01-16,L002,M004,焊装,焊缝气孔,3,低,返修中
D000252,2026-01-16,L003,M003,总装,内饰装配偏差,3,低,已返修
D000253,2026-01-16,L003,M004,总装,螺栓扭矩不足,3,高,已返修
D000254,2026-01-16,L004,M001,涂装,颗粒点,3,低,已返修
D000255,2026-01-16,L004,M002,涂装,漆面流挂,1,低,已返修
D000256,2026-01-16,L005,M005,总装,内饰装配偏差,2,低,已返修
D000257,2026-01-16,L005,M005,总装,螺栓扭矩不足,3,高,已返修
D000258,2026-01-16,L006,M006,焊装,焊缝气孔,1,低,已返修
D000259,2026-01-16,L006,M006,焊装,零件错位,2,低,已返修
D000260,2026-01-16,L007,M007,总装,内饰装配偏差,2,低,已返修
D000261,2026-01-16,L007,M007,总装,螺栓扭矩不足,1,中,已返修
D000262,2026-01-16,L008,M008,检测,制动检测异常,1,中,已返修
D000263,2026-01-16,L008,M003,检测,制动检测异常,3,中,已返修
D000264,2026-01-17,L001,M001,总装,螺栓扭矩不足,2,低,已返修
D000265,2026-01-17,L001,M002,总装,线束松动,2,低,已返修
D000266,2026-01-17,L002,M004,焊装,焊缝气孔,2,中,已返修
D000267,2026-01-17,L002,M003,焊装,焊缝气孔,3,中,已返修
D000268,2026-01-17,L003,M003,总装,线束松动,1,低,已返修
D000269,2026-01-17,L003,M003,总装,内饰装配偏差,1,低,返修中
D000270,2026-01-17,L004,M001,涂装,颗粒点,3,中,已返修
D000271,2026-01-17,L004,M002,涂装,颗粒点,3,中,返修中
D000272,2026-01-17,L005,M005,总装,螺栓扭矩不足,1,高,已返修
D000273,2026-01-17,L005,M005,总装,线束松动,2,低,已返修
D000274,2026-01-17,L006,M005,焊装,焊点虚焊,1,低,待确认
D000275,2026-01-17,L006,M006,焊装,焊缝气孔,2,高,已返修
D000276,2026-01-17,L007,M007,总装,螺栓扭矩不足,2,低,已返修
D000277,2026-01-17,L007,M007,总装,线束松动,2,低,返修中
D000278,2026-01-17,L008,M003,检测,电控报警,3,中,待确认
D000279,2026-01-17,L008,M002,检测,电控报警,3,中,已返修
D000280,2026-01-18,L001,M001,总装,螺栓扭矩不足,3,中,返修中
D000281,2026-01-18,L001,M001,总装,内饰装配偏差,3,中,已返修
D000282,2026-01-18,L002,M003,焊装,焊点虚焊,2,低,已返修
D000283,2026-01-18,L002,M003,焊装,焊点虚焊,2,低,已返修
D000284,2026-01-18,L003,M004,总装,线束松动,3,低,已返修
D000285,2026-01-18,L003,M004,总装,线束松动,2,低,待确认
D000286,2026-01-18,L004,M001,涂装,色差,4,中,已返修
D000287,2026-01-18,L004,M001,涂装,颗粒点,2,高,返修中
D000288,2026-01-18,L005,M006,总装,螺栓扭矩不足,1,高,已返修
D000289,2026-01-18,L005,M006,总装,线束松动,3,中,待确认
D000290,2026-01-18,L006,M006,焊装,焊点虚焊,2,低,返修中
D000291,2026-01-18,L006,M006,焊装,焊点虚焊,3,中,已返修
D000292,2026-01-18,L007,M007,总装,螺栓扭矩不足,3,中,已返修
D000293,2026-01-18,L008,M002,检测,电控报警,2,中,返修中
D000294,2026-01-18,L008,M007,检测,制动检测异常,1,低,返修中
D000295,2026-01-19,L001,M001,总装,内饰装配偏差,3,低,返修中
D000296,2026-01-19,L001,M002,总装,线束松动,4,中,待确认
D000297,2026-01-19,L002,M004,焊装,焊点虚焊,3,低,已返修
D000298,2026-01-19,L002,M003,焊装,焊点虚焊,2,中,已返修
D000299,2026-01-19,L003,M003,总装,螺栓扭矩不足,1,低,已返修
D000300,2026-01-19,L003,M003,总装,螺栓扭矩不足,3,低,已返修
D000301,2026-01-19,L004,M001,涂装,色差,3,低,已返修
D000302,2026-01-19,L004,M001,涂装,颗粒点,3,低,返修中
D000303,2026-01-19,L005,M005,总装,线束松动,2,低,返修中
D000304,2026-01-19,L005,M006,总装,内饰装配偏差,3,低,已返修
D000305,2026-01-19,L005,M006,总装,螺栓扭矩不足,1,中,待确认
D000306,2026-01-19,L006,M005,焊装,焊点虚焊,1,低,待确认
D000307,2026-01-19,L006,M006,焊装,零件错位,3,低,返修中
D000308,2026-01-19,L007,M008,总装,线束松动,1,中,已返修
D000309,2026-01-19,L007,M007,总装,线束松动,1,低,已返修
D000310,2026-01-19,L008,M007,检测,电控报警,1,中,返修中
D000311,2026-01-19,L008,M003,检测,制动检测异常,4,低,已返修
D000312,2026-01-20,L001,M002,总装,线束松动,3,高,已返修
D000313,2026-01-20,L001,M002,总装,螺栓扭矩不足,1,中,已返修
D000314,2026-01-20,L001,M001,总装,内饰装配偏差,4,低,已返修
D000315,2026-01-20,L001,M001,总装,螺栓扭矩不足,1,中,已返修
D000316,2026-01-20,L002,M003,焊装,焊缝气孔,3,低,返修中
D000317,2026-01-20,L002,M003,焊装,焊点虚焊,3,中,已返修
D000318,2026-01-20,L003,M004,总装,螺栓扭矩不足,3,低,已返修
D000319,2026-01-20,L003,M004,总装,内饰装配偏差,1,中,已返修
D000320,2026-01-20,L004,M001,涂装,漆面流挂,1,中,已返修
D000321,2026-01-20,L004,M002,涂装,漆面流挂,3,低,返修中
D000322,2026-01-20,L005,M005,总装,螺栓扭矩不足,2,低,已返修
D000323,2026-01-20,L005,M005,总装,内饰装配偏差,2,中,已返修
D000324,2026-01-20,L006,M005,焊装,焊点虚焊,1,中,已返修
D000325,2026-01-20,L006,M006,焊装,零件错位,1,高,已返修
D000326,2026-01-20,L007,M008,总装,线束松动,2,低,返修中
D000327,2026-01-20,L007,M007,总装,内饰装配偏差,2,中,待确认
D000328,2026-01-20,L008,M005,检测,电控报警,3,高,已返修
D000329,2026-01-20,L008,M005,检测,制动检测异常,1,中,已返修
D000330,2026-01-20,L008,M008,检测,制动检测异常,1,高,返修中
D000331,2026-01-21,L001,M002,总装,线束松动,2,低,已返修
D000332,2026-01-21,L001,M001,总装,线束松动,3,低,已返修
D000333,2026-01-21,L002,M004,焊装,焊缝气孔,2,低,已返修
D000334,2026-01-21,L002,M003,焊装,焊点虚焊,2,中,返修中
D000335,2026-01-21,L003,M004,总装,螺栓扭矩不足,2,低,已返修
D000336,2026-01-21,L003,M003,总装,内饰装配偏差,1,低,已返修
D000337,2026-01-21,L004,M002,涂装,色差,2,低,已返修
D000338,2026-01-21,L004,M002,涂装,色差,3,低,已返修
D000339,2026-01-21,L005,M006,总装,线束松动,2,中,返修中
D000340,2026-01-21,L005,M006,总装,螺栓扭矩不足,2,低,已返修
D000341,2026-01-21,L006,M005,焊装,焊缝气孔,1,中,已返修
D000342,2026-01-21,L006,M006,焊装,焊点虚焊,2,中,返修中
D000343,2026-01-21,L007,M007,总装,内饰装配偏差,2,低,待确认
D000344,2026-01-21,L007,M008,总装,内饰装配偏差,1,低,已返修
D000345,2026-01-21,L008,M005,检测,电控报警,1,低,已返修
D000346,2026-01-21,L008,M007,检测,制动检测异常,2,中,返修中
D000347,2026-01-22,L001,M002,总装,线束松动,3,中,已返修
D000348,2026-01-22,L001,M001,总装,内饰装配偏差,3,低,已返修
D000349,2026-01-22,L002,M003,焊装,焊点虚焊,3,高,已返修
D000350,2026-01-22,L002,M003,焊装,零件错位,1,中,已返修
D000351,2026-01-22,L002,M003,焊装,焊缝气孔,3,低,已返修
D000352,2026-01-22,L003,M004,总装,线束松动,2,中,返修中
D000353,2026-01-22,L003,M003,总装,线束松动,3,低,已返修
D000354,2026-01-22,L004,M002,涂装,漆面流挂,1,低,已返修
D000355,2026-01-22,L004,M002,涂装,颗粒点,1,中,已返修
D000356,2026-01-22,L005,M005,总装,线束松动,1,低,已返修
D000357,2026-01-22,L005,M006,总装,螺栓扭矩不足,1,低,已返修
D000358,2026-01-22,L006,M005,焊装,零件错位,3,低,已返修
D000359,2026-01-22,L006,M006,焊装,焊点虚焊,3,高,已返修
D000360,2026-01-22,L007,M008,总装,螺栓扭矩不足,3,低,已返修
D000361,2026-01-22,L007,M007,总装,螺栓扭矩不足,3,高,已返修
D000362,2026-01-22,L008,M002,检测,电控报警,3,中,待确认
D000363,2026-01-22,L008,M006,检测,密封性异常,2,低,已返修
D000364,2026-01-23,L001,M002,总装,线束松动,2,低,已返修
D000365,2026-01-23,L001,M002,总装,线束松动,3,低,返修中
D000366,2026-01-23,L002,M004,焊装,焊缝气孔,3,高,已返修
D000367,2026-01-23,L002,M003,焊装,焊缝气孔,2,低,已返修
D000368,2026-01-23,L003,M004,总装,内饰装配偏差,2,中,已返修
D000369,2026-01-23,L003,M003,总装,内饰装配偏差,1,中,已返修
D000370,2026-01-23,L004,M001,涂装,漆面流挂,4,低,已返修
D000371,2026-01-23,L004,M001,涂装,漆面流挂,1,中,已返修
D000372,2026-01-23,L005,M006,总装,线束松动,2,低,已返修
D000373,2026-01-23,L005,M005,总装,内饰装配偏差,3,中,待确认
D000374,2026-01-23,L006,M006,焊装,焊缝气孔,1,低,待确认
D000375,2026-01-23,L006,M006,焊装,零件错位,2,高,已返修
D000376,2026-01-23,L007,M008,总装,螺栓扭矩不足,1,低,返修中
D000377,2026-01-23,L007,M008,总装,螺栓扭矩不足,2,中,已返修
D000378,2026-01-23,L008,M002,检测,密封性异常,4,低,返修中
D000379,2026-01-23,L008,M003,检测,电控报警,1,低,已返修
D000380,2026-01-24,L001,M002,总装,线束松动,3,中,待确认
D000381,2026-01-24,L001,M001,总装,内饰装配偏差,2,中,已返修
D000382,2026-01-24,L002,M004,焊装,焊缝气孔,2,高,已返修
D000383,2026-01-24,L002,M004,焊装,零件错位,3,中,已返修
D000384,2026-01-24,L003,M003,总装,螺栓扭矩不足,1,中,已返修
D000385,2026-01-24,L003,M004,总装,螺栓扭矩不足,2,低,已返修
D000386,2026-01-24,L004,M002,涂装,颗粒点,1,低,待确认
D000387,2026-01-24,L004,M001,涂装,颗粒点,4,低,已返修
D000388,2026-01-24,L005,M005,总装,螺栓扭矩不足,1,低,返修中
