actual_id,plan_id,production_date,line_id,model_id,shift,actual_quantity,working_hours,downtime_minutes,achievement_rate
A000048,P000048,2026-01-03,L008,M002,夜班,64,8,37,0.9552
A000049,P000049,2026-01-04,L001,M002,白班,50,8,10,0.9259
A000050,P000050,2026-01-04,L001,M001,夜班,56,8,6,0.918
A000051,P000051,2026-01-04,L002,M004,白班,50,8,12,0.9259
A000052,P000052,2026-01-04,L002,M004,夜班,48,8,25,1.0213
A000053,P000053,2026-01-04,L003,M003,白班,47,8,29,0.9792
A000054,P000054,2026-01-04,L003,M003,夜班,46,8,63,0.8846
A000055,P000055,2026-01-04,L004,M002,白班,42,8,4,0.9545
A000056,P000056,2026-01-04,L004,M002,夜班,46,8,33,0.9388
A000057,P000057,2026-01-04,L005,M005,白班,39,8,13,1.0
A000058,P000058,2026-01-04,L005,M006,夜班,34,8,37,1.0303
A000059,P000059,2026-01-04,L006,M005,白班,35,8,35,0.9211
A000060,P000060,2026-01-04,L006,M005,夜班,35,8,28,1.0294
A000061,P000061,2026-01-04,L007,M008,白班,30,8,37,0.9677
A000062,P000062,2026-01-04,L007,M007,夜班,32,8,30,0.9143
A000063,P000063,2026-01-04,L008,M003,白班,53,8,30,1.0192
A000064,P000064,2026-01-04,L008,M006,夜班,53,8,7,1.0
A000065,P000065,2026-01-05,L001,M002,白班,90,8,38,1.0112
A000066,P000066,2026-01-05,L001,M002,夜班,84,8,17,0.9767
A000067,P000067,2026-01-05,L002,M003,白班,70,8,32,0.9211
A000068,P000068,2026-01-05,L002,M003,夜班,68,8,10,0.9714
A000069,P000069,2026-01-05,L003,M003,白班,69,8,15,0.9583
A000070,P000070,2026-01-05,L003,M003,夜班,60,8,63,0.7895
A000071,P000071,2026-01-05,L004,M001,白班,53,8,31,0.9138
A000072,P000072,2026-01-05,L004,M001,夜班,51,8,27,0.9107
A000073,P000073,2026-01-05,L005,M006,白班,55,8,26,0.9322
A000074,P000074,2026-01-05,L005,M006,夜班,45,8,13,0.9375
A000075,P000075,2026-01-05,L006,M006,白班,57,8,10,1.0
A000076,P000076,2026-01-05,L006,M006,夜班,53,8,7,0.9138
A000077,P000077,2026-01-05,L007,M007,白班,43,8,15,1.0238
A000078,P000078,2026-01-05,L007,M008,夜班,52,8,24,1.0196
A000079,P000079,2026-01-05,L008,M006,白班,69,8,15,0.9857
A000080,P000080,2026-01-05,L008,M004,夜班,75,8,24,0.9146
A000081,P000081,2026-01-06,L001,M001,白班,81,8,9,0.9759
A000082,P000082,2026-01-06,L001,M002,夜班,79,8,18,0.9405
A000083,P000083,2026-01-06,L002,M003,白班,70,8,13,0.9722
A000084,P000084,2026-01-06,L002,M004,夜班,71,8,16,1.0143
A000085,P000085,2026-01-06,L003,M004,白班,62,8,9,0.9394
A000086,P000086,2026-01-06,L003,M003,夜班,59,8,53,0.7763
A000087,P000087,2026-01-06,L004,M002,白班,67,8,20,1.0
A000088,P000088,2026-01-06,L004,M002,夜班,54,8,25,0.9474
A000089,P000089,2026-01-06,L005,M005,白班,47,8,0,0.9592
A000090,P000090,2026-01-06,L005,M006,夜班,57,8,34,1.0179
A000091,P000091,2026-01-06,L006,M005,白班,53,8,21,0.9298
A000092,P000092,2026-01-06,L006,M005,夜班,58,8,14,1.0175
A000093,P000093,2026-01-06,L007,M008,白班,41,8,8,0.9762
A000094,P000094,2026-01-06,L007,M008,夜班,46,8,13,0.9388
A000095,P000095,2026-01-06,L008,M006,白班,70,8,20,0.9722
A000096,P000096,2026-01-06,L008,M007,夜班,70,8,14,1.0145
A000097,P000097,2026-01-07,L001,M001,白班,72,8,27,0.9114
A000098,P000098,2026-01-07,L001,M001,夜班,89,8,20,1.023
A000099,P000099,2026-01-07,L002,M003,白班,69,8,37,0.9452
A000100,P000100,2026-01-07,L002,M003,夜班,67,8,0,0.9178
A000101,P000101,2026-01-07,L003,M003,白班,60,8,11,0.9524
A000102,P000102,2026-01-07,L003,M004,夜班,59,8,71,0.9219
A000103,P000103,2026-01-07,L004,M002,白班,67,8,20,1.0
A000104,P000104,2026-01-07,L004,M001,夜班,61,8,18,0.9839
A000105,P000105,2026-01-07,L005,M005,白班,48,8,7,1.0
A000106,P000106,2026-01-07,L005,M006,夜班,46,8,0,0.9583
A000107,P000107,2026-01-07,L006,M005,白班,53,8,19,1.0
A000108,P000108,2026-01-07,L006,M005,夜班,55,8,24,0.9649
A000109,P000109,2026-01-07,L007,M008,白班,50,8,40,1.0
A000110,P000110,2026-01-07,L007,M007,夜班,47,8,16,1.0217
A000111,P000111,2026-01-07,L008,M007,白班,65,8,15,0.9848
A000112,P000112,2026-01-07,L008,M008,夜班,73,8,14,0.9605
A000113,P000113,2026-01-08,L001,M002,白班,83,8,13,1.0
A000114,P000114,2026-01-08,L001,M001,夜班,81,8,19,0.9419
A000115,P000115,2026-01-08,L002,M003,白班,73,8,12,0.9865
A000116,P000116,2026-01-08,L002,M003,夜班,72,8,16,1.0
A000117,P000117,2026-01-08,L003,M004,白班,62,8,32,1.0
A000118,P000118,2026-01-08,L003,M004,夜班,56,8,55,0.8485
A000119,P000119,2026-01-08,L004,M002,白班,65,8,35,0.9848
A000120,P000120,2026-01-08,L004,M002,夜班,53,8,0,0.9138
A000121,P000121,2026-01-08,L005,M005,白班,52,8,5,1.0196
A000122,P000122,2026-01-08,L005,M006,夜班,46,8,3,0.92
A000123,P000123,2026-01-08,L006,M006,白班,49,8,11,1.0208
A000124,P000124,2026-01-08,L006,M006,夜班,51,8,8,1.02
A000125,P000125,2026-01-08,L007,M008,白班,43,8,20,1.0
A000126,P000126,2026-01-08,L007,M008,夜班,48,8,28,1.0
A000127,P000127,2026-01-08,L008,M002,白班,71,8,19,0.9221
A000128,P000128,2026-01-08,L008,M007,夜班,59,8,28,0.9077
A000129,P000129,2026-01-09,L001,M001,白班,78,8,14,0.9176
A000130,P000130,2026-01-09,L001,M002,夜班,78,8,21,0.9873
A000131,P000131,2026-01-09,L002,M004,白班,78,8,19,0.9873
A000132,P000132,2026-01-09,L002,M003,夜班,66,8,29,1.0154
A000133,P000133,2026-01-09,L003,M003,白班,63,8,42,0.9692
A000134,P000134,2026-01-09,L003,M004,夜班,58,8,29,0.7945
A000135,P000135,2026-01-09,L004,M002,白班,54,8,13,0.9474
A000136,P000136,2026-01-09,L004,M002,夜班,60,8,1,1.0345
A000137,P000137,2026-01-09,L005,M005,白班,54,8,17,0.9474
A000138,P000138,2026-01-09,L005,M005,夜班,54,8,18,0.9153
A000139,P000139,2026-01-09,L006,M006,白班,54,8,24,1.0
A000140,P000140,2026-01-09,L006,M006,夜班,50,8,21,0.9804
A000141,P000141,2026-01-09,L007,M008,白班,45,8,34,0.9574
A000142,P000142,2026-01-09,L007,M008,夜班,50,8,10,0.9804
A000143,P000143,2026-01-09,L008,M006,白班,83,8,16,1.0247
A000144,P000144,2026-01-09,L008,M008,夜班,76,8,22,0.9744
A000145,P000145,2026-01-10,L001,M002,白班,75,8,28,0.9615
A000146,P000146,2026-01-10,L001,M002,夜班,75,8,14,1.0
A000147,P000147,2026-01-10,L002,M004,白班,64,8,35,0.9275
A000148,P000148,2026-01-10,L002,M004,夜班,63,8,19,0.913
A000149,P000149,2026-01-10,L003,M003,白班,55,8,25,0.9167
A000150,P000150,2026-01-10,L003,M004,夜班,61,8,72,0.8841
A000151,P000151,2026-01-10,L004,M002,白班,48,8,36,0.9231
A000152,P000152,2026-01-10,L004,M001,夜班,49,8,37,0.9423
A000153,P000153,2026-01-10,L005,M005,白班,42,8,26,0.9767
A000154,P000154,2026-01-10,L005,M005,夜班,42,8,22,0.9545
A000155,P000155,2026-01-10,L006,M005,白班,39,8,19,0.907
A000156,P000156,2026-01-10,L006,M006,夜班,46,8,25,0.9388
A000157,P000157,2026-01-10,L007,M008,白班,37,8,16,0.9737
A000158,P000158,2026-01-10,L007,M007,夜班,45,8,7,0.9783
A000159,P000159,2026-01-10,L008,M003,白班,67,8,31,1.0152
A000160,P000160,2026-01-10,L008,M003,夜班,71,8,32,0.9861
A000161,P000161,2026-01-11,L001,M002,白班,61,8,6,0.9839
A000162,P000162,2026-01-11,L001,M002,夜班,65,8,6,1.0317
A000163,P000163,2026-01-11,L002,M003,白班,44,8,17,0.9565
A000164,P000164,2026-01-11,L002,M004,夜班,49,8,22,1.0
A000165,P000165,2026-01-11,L003,M004,白班,48,8,16,1.0
A000166,P000166,2026-01-11,L003,M004,夜班,42,8,56,0.913
A000167,P000167,2026-01-11,L004,M002,白班,47,8,19,0.94
A000168,P000168,2026-01-11,L004,M001,夜班,45,8,38,0.9783
A000169,P000169,2026-01-11,L005,M005,白班,37,8,33,1.0
A000170,P000170,2026-01-11,L005,M005,夜班,33,8,10,0.9167
A000171,P000171,2026-01-11,L006,M006,白班,37,8,12,0.925
A000172,P000172,2026-01-11,L006,M006,夜班,36,8,15,0.9474
A000173,P000173,2026-01-11,L007,M007,白班,35,8,16,1.0
A000174,P000174,2026-01-11,L007,M008,夜班,36,8,26,1.0
A000175,P000175,2026-01-11,L008,M006,白班,55,8,5,0.9821
A000176,P000176,2026-01-11,L008,M002,夜班,49,8,26,0.9245
A000177,P000177,2026-01-12,L001,M001,白班,80,8,36,0.9412
A000178,P000178,2026-01-12,L001,M002,夜班,87,8,39,0.9457
A000179,P000179,2026-01-12,L002,M004,白班,67,8,0,1.0152
A000180,P000180,2026-01-12,L002,M004,夜班,79,8,1,0.9753
A000181,P000181,2026-01-12,L003,M004,白班,59,8,20,0.9672
A000182,P000182,2026-01-12,L003,M004,夜班,53,8,36,0.8281
A000183,P000183,2026-01-12,L004,M002,白班,58,8,12,0.9508
A000184,P000184,2026-01-12,L004,M002,夜班,65,8,5,1.0156
A000185,P000185,2026-01-12,L005,M005,白班,44,8,9,0.9167
A000186,P000186,2026-01-12,L005,M006,夜班,51,8,0,0.9444
A000187,P000187,2026-01-12,L006,M006,白班,51,8,7,0.9107
A000188,P000188,2026-01-12,L006,M006,夜班,45,8,5,0.9375
A000189,P000189,2026-01-12,L007,M008,白班,45,8,17,0.9574
A000190,P000190,2026-01-12,L007,M007,夜班,41,8,29,0.9535
A000191,P000191,2026-01-12,L008,M003,白班,69,8,19,0.9718
A000192,P000192,2026-01-12,L008,M001,夜班,66,8,32,1.0
A000193,P000193,2026-01-13,L001,M001,白班,73,8,8,0.9241
A000194,P000194,2026-01-13,L001,M002,夜班,77,8,40,1.0132
A000195,P000195,2026-01-13,L002,M003,白班,67,8,21,0.9437
A000196,P000196,2026-01-13,L002,M004,夜班,78,8,30,1.013
A000197,P000197,2026-01-13,L003,M004,白班,66,8,18,1.0154
A000198,P000198,2026-01-13,L003,M004,夜班,55,8,67,0.8462
A000199,P000199,2026-01-13,L004,M002,白班,58,8,19,1.0
A000200,P000200,2026-01-13,L004,M002,夜班,62,8,38,0.9688
A000201,P000201,2026-01-13,L005,M006,白班,46,8,27,0.9583
A000202,P000202,2026-01-13,L005,M006,夜班,59,8,25,0.9833
A000203,P000203,2026-01-13,L006,M006,白班,57,8,20,0.9828
A000204,P000204,2026-01-13,L006,M006,夜班,48,8,20,0.9412
A000205,P000205,2026-01-13,L007,M008,白班,46,8,24,0.9583
A000206,P000206,2026-01-13,L007,M007,夜班,48,8,21,0.9796
A000207,P000207,2026-01-13,L008,M006,白班,81,8,23,1.0
A000208,P000208,2026-01-13,L008,M002,夜班,63,8,22,0.9692
A000209,P000209,2026-01-14,L001,M001,白班,83,8,19,1.0247
A000210,P000210,2026-01-14,L001,M002,夜班,87,8,0,1.0235
A000211,P000211,2026-01-14,L002,M004,白班,65,8,11,0.9286
A000212,P000212,2026-01-14,L002,M003,夜班,73,8,0,0.9865
A000213,P000213,2026-01-14,L003,M003,白班,61,8,25,0.9839
A000214,P000214,2026-01-14,L003,M004,夜班,66,8,63,0.9167
A000215,P000215,2026-01-14,L004,M001,白班,60,8,3,0.9231
A000216,P000216,2026-01-14,L004,M002,夜班,54,8,22,0.931
A000217,P000217,2026-01-14,L005,M005,白班,54,8,12,0.9474
A000218,P000218,2026-01-14,L005,M006,夜班,48,8,0,0.9231
A000219,P000219,2026-01-14,L006,M005,白班,45,8,19,0.9574
A000220,P000220,2026-01-14,L006,M005,夜班,55,8,1,0.9649
A000221,P000221,2026-01-14,L007,M007,白班,39,8,13,0.9512
A000222,P000222,2026-01-14,L007,M008,夜班,37,8,0,0.9024
A000223,P000223,2026-01-14,L008,M001,白班,61,8,5,0.9242
A000224,P000224,2026-01-14,L008,M003,夜班,62,8,8,0.9538
A000225,P000225,2026-01-15,L001,M001,白班,84,8,17,0.9767
A000226,P000226,2026-01-15,L001,M002,夜班,81,8,15,1.0253
A000227,P000227,2026-01-15,L002,M004,白班,61,8,49,0.9242
A000228,P000228,2026-01-15,L002,M003,夜班,68,8,35,0.9189
A000229,P000229,2026-01-15,L003,M004,白班,59,8,32,0.9672
A000230,P000230,2026-01-15,L003,M004,夜班,64,8,58,0.8767
A000231,P000231,2026-01-15,L004,M002,白班,67,8,25,0.9437
A000232,P000232,2026-01-15,L004,M001,夜班,58,8,17,1.0175
A000233,P000233,2026-01-15,L005,M005,白班,50,8,2,1.0204
A000234,P000234,2026-01-15,L005,M005,夜班,48,8,26,0.9796
A000235,P000235,2026-01-15,L006,M005,白班,47,8,2,0.9792
A000236,P000236,2026-01-15,L006,M005,夜班,43,8,30,0.9556
A000237,P000237,2026-01-15,L007,M008,白班,44,8,16,1.0
A000238,P000238,2026-01-15,L007,M007,夜班,52,8,44,1.0196
A000239,P000239,2026-01-15,L008,M004,白班,60,8,19,0.9231
A000240,P000240,2026-01-15,L008,M004,夜班,68,8,20,1.0149
A000241,P000241,2026-01-16,L001,M002,白班,90,8,23,0.9783
A000242,P000242,2026-01-16,L001,M002,夜班,84,8,18,0.9655
A000243,P000243,2026-01-16,L002,M003,白班,83,8,27,1.0247
A000244,P000244,2026-01-16,L002,M004,夜班,68,8,31,1.0149
A000245,P000245,2026-01-16,L003,M003,白班,62,8,40,0.9538
A000246,P000246,2026-01-16,L003,M004,夜班,60,8,45,0.8824
A000247,P000247,2026-01-16,L004,M001,白班,68,8,32,0.9855
A000248,P000248,2026-01-16,L004,M002,夜班,58,8,27,1.0175
A000249,P000249,2026-01-16,L005,M005,白班,58,8,19,1.0
A000250,P000250,2026-01-16,L005,M005,夜班,52,8,25,1.0
A000251,P000251,2026-01-16,L006,M006,白班,48,8,22,0.9796
A000252,P000252,2026-01-16,L006,M006,夜班,58,8,34,1.0175
A000253,P000253,2026-01-16,L007,M007,白班,46,8,24,0.9583
A000254,P000254,2026-01-16,L007,M007,夜班,41,8,36,0.9111
A000255,P000255,2026-01-16,L008,M008,白班,66,8,24,0.9851
A000256,P000256,2026-01-16,L008,M003,夜班,66,8,26,0.9296
A000257,P000257,2026-01-17,L001,M001,白班,82,8,16,1.0
A000258,P000258,2026-01-17,L001,M002,夜班,75,8,19,0.9259
A000259,P000259,2026-01-17,L002,M004,白班,70,8,36,1.0
A000260,P000260,2026-01-17,L002,M003,夜班,62,8,28,0.9118
A000261,P000261,2026-01-17,L003,M003,白班,69,8,6,1.0
A000262,P000262,2026-01-17,L003,M003,夜班,46,8,83,0.807
A000263,P000263,2026-01-17,L004,M001,白班,56,8,6,1.0
A000264,P000264,2026-01-17,L004,M002,夜班,50,8,22,0.9434
A000265,P000265,2026-01-17,L005,M005,白班,40,8,24,0.9091
A000266,P000266,2026-01-17,L005,M005,夜班,41,8,18,0.9535
A000267,P000267,2026-01-17,L006,M005,白班,48,8,17,0.9231
A000268,P000268,2026-01-17,L006,M006,夜班,42,8,16,0.9767
A000269,P000269,2026-01-17,L007,M007,白班,40,8,32,1.0
A000270,P000270,2026-01-17,L007,M007,夜班,44,8,24,1.0
A000271,P000271,2026-01-17,L008,M003,白班,72,8,15,1.0
A000272,P000272,2026-01-17,L008,M002,夜班,66,8,17,1.0
A000273,P000273,2026-01-18,L001,M001,白班,51,8,36,0.9444
A000274,P000274,2026-01-18,L001,M001,夜班,52,8,14,0.9811
A000275,P000275,2026-01-18,L002,M003,白班,55,8,35,1.0185
A000276,P000276,2026-01-18,L002,M003,夜班,43,8,22,0.9149
A000277,P000277,2026-01-18,L003,M004,白班,43,8,21,0.9773
A000278,P000278,2026-01-18,L003,M004,夜班,39,8,48,0.8478
A000279,P000279,2026-01-18,L004,M001,白班,45,8,11,0.9184
A000280,P000280,2026-01-18,L004,M001,夜班,40,8,3,0.9302
A000281,P000281,2026-01-18,L005,M006,白班,33,8,20,0.9167
A000282,P000282,2026-01-18,L005,M006,夜班,39,8,18,0.9512
A000283,P000283,2026-01-18,L006,M006,白班,34,8,10,0.9714
A000284,P000284,2026-01-18,L006,M006,夜班,38,8,10,0.9744
A000285,P000285,2026-01-18,L007,M007,白班,32,8,20,0.9697
A000286,P000286,2026-01-18,L007,M008,夜班,31,8,6,1.0333
A000287,P000287,2026-01-18,L008,M002,白班,50,8,18,0.9091
A000288,P000288,2026-01-18,L008,M007,夜班,43,8,7,0.9149
A000289,P000289,2026-01-19,L001,M001,白班,77,8,28,0.9872
A000290,P000290,2026-01-19,L001,M002,夜班,72,8,24,0.9474
A000291,P000291,2026-01-19,L002,M004,白班,70,8,24,1.0
A000292,P000292,2026-01-19,L002,M003,夜班,74,8,7,0.925
A000293,P000293,2026-01-19,L003,M003,白班,63,8,6,0.9545
A000294,P000294,2026-01-19,L003,M003,夜班,56,8,69,0.8235
A000295,P000295,2026-01-19,L004,M001,白班,64,8,22,0.9552
A000296,P000296,2026-01-19,L004,M001,夜班,52,8,14,0.9286
A000297,P000297,2026-01-19,L005,M005,白班,58,8,26,1.0
A000298,P000298,2026-01-19,L005,M006,夜班,57,8,42,0.95
A000299,P000299,2026-01-19,L006,M005,白班,50,8,23,1.0
A000300,P000300,2026-01-19,L006,M006,夜班,52,8,18,1.0196
A000301,P000301,2026-01-19,L007,M008,白班,50,8,14,1.0204
A000302,P000302,2026-01-19,L007,M007,夜班,47,8,41,0.9216
A000303,P000303,2026-01-19,L008,M007,白班,71,8,8,1.0143
A000304,P000304,2026-01-19,L008,M003,夜班,64,8,14,0.9412
A000305,P000305,2026-01-20,L001,M002,白班,80,8,31,1.0256
A000306,P000306,2026-01-20,L001,M001,夜班,80,8,24,0.9412
A000307,P000307,2026-01-20,L002,M003,白班,73,8,22,0.9125
A000308,P000308,2026-01-20,L002,M003,夜班,64,8,38,0.9412
A000309,P000309,2026-01-20,L003,M004,白班,64,8,29,0.9697
A000310,P000310,2026-01-20,L003,M004,夜班,58,8,61,0.8923
A000311,P000311,2026-01-20,L004,M001,白班,58,8,7,0.9667
A000312,P000312,2026-01-20,L004,M002,夜班,59,8,0,0.9833
A000313,P000313,2026-01-20,L005,M005,白班,52,8,27,0.9123
A000314,P000314,2026-01-20,L005,M005,夜班,56,8,22,1.0
A000315,P000315,2026-01-20,L006,M005,白班,43,8,13,0.9348
A000316,P000316,2026-01-20,L006,M006,夜班,47,8,13,1.0217
A000317,P000317,2026-01-20,L007,M008,白班,45,8,13,1.0227
A000318,P000318,2026-01-20,L007,M007,夜班,45,8,0,1.0
A000319,P000319,2026-01-20,L008,M005,白班,64,8,21,0.9846
A000320,P000320,2026-01-20,L008,M008,夜班,67,8,4,0.9853
A000321,P000321,2026-01-21,L001,M002,白班,73,8,27,1.0
A000322,P000322,2026-01-21,L001,M001,夜班,93,8,6,1.0109
A000323,P000323,2026-01-21,L002,M004,白班,77,8,27,1.0132
A000324,P000324,2026-01-21,L002,M003,夜班,69,8,22,1.0147
A000325,P000325,2026-01-21,L003,M004,白班,61,8,16,1.0
A000326,P000326,2026-01-21,L003,M003,夜班,54,8,73,0.8571
A000327,P000327,2026-01-21,L004,M002,白班,64,8,25,0.9552
A000328,P000328,2026-01-21,L004,M002,夜班,59,8,0,0.9672
A000329,P000329,2026-01-21,L005,M006,白班,60,8,8,1.0169
A000330,P000330,2026-01-21,L005,M006,夜班,55,8,29,0.9322
A000331,P000331,2026-01-21,L006,M005,白班,49,8,43,0.98
A000332,P000332,2026-01-21,L006,M006,夜班,52,8,20,0.9455
A000333,P000333,2026-01-21,L007,M007,白班,48,8,14,1.0213
A000334,P000334,2026-01-21,L007,M008,夜班,46,8,37,0.92
A000335,P000335,2026-01-21,L008,M005,白班,73,8,0,0.9733
A000336,P000336,2026-01-21,L008,M007,夜班,64,8,21,0.9552
A000337,P000337,2026-01-22,L001,M002,白班,74,8,23,0.9487
A000338,P000338,2026-01-22,L001,M001,夜班,77,8,8,1.0132
A000339,P000339,2026-01-22,L002,M003,白班,72,8,13,1.0286
A000340,P000340,2026-01-22,L002,M003,夜班,72,8,16,0.9114
A000341,P000341,2026-01-22,L003,M004,白班,72,8,26,0.96
A000342,P000342,2026-01-22,L003,M003,夜班,59,8,48,0.8082
A000343,P000343,2026-01-22,L004,M002,白班,60,8,35,0.9836
A000344,P000344,2026-01-22,L004,M002,夜班,62,8,36,0.9841
A000345,P000345,2026-01-22,L005,M005,白班,49,8,25,1.0
A000346,P000346,2026-01-22,L005,M006,夜班,55,8,24,0.9649
A000347,P000347,2026-01-22,L006,M005,白班,53,8,23,0.9298
A000348,P000348,2026-01-22,L006,M006,夜班,45,8,9,1.0
A000349,P000349,2026-01-22,L007,M008,白班,45,8,19,1.0227
A000350,P000350,2026-01-22,L007,M007,夜班,46,8,36,0.92
A000351,P000351,2026-01-22,L008,M002,白班,67,8,22,1.0152
A000352,P000352,2026-01-22,L008,M006,夜班,65,8,24,0.9848
A000353,P000353,2026-01-23,L001,M002,白班,79,8,14,1.0128
A000354,P000354,2026-01-23,L001,M002,夜班,81,8,22,0.9643
A000355,P000355,2026-01-23,L002,M004,白班,69,8,37,0.9324
A000356,P000356,2026-01-23,L002,M003,夜班,76,8,8,0.95
A000357,P000357,2026-01-23,L003,M004,白班,73,8,16,1.0282
A000358,P000358,2026-01-23,L003,M003,夜班,59,8,62,0.8429
A000359,P000359,2026-01-23,L004,M001,白班,65,8,22,1.0
A000360,P000360,2026-01-23,L004,M001,夜班,57,8,0,1.0
A000361,P000361,2026-01-23,L005,M006,白班,56,8,27,0.9333
A000362,P000362,2026-01-23,L005,M005,夜班,57,8,34,0.9828
A000363,P000363,2026-01-23,L006,M006,白班,53,8,0,1.0192
A000364,P000364,2026-01-23,L006,M006,夜班,48,8,26,0.9412
A000365,P000365,2026-01-23,L007,M008,白班,43,8,20,0.9556
A000366,P000366,2026-01-23,L007,M008,夜班,45,8,24,1.0227
A000367,P000367,2026-01-23,L008,M002,白班,77,8,26,0.9506
A000368,P000368,2026-01-23,L008,M003,夜班,69,8,46,0.9583
A000369,P000369,2026-01-24,L001,M002,白班,83,8,6,1.0247
A000370,P000370,2026-01-24,L001,M001,夜班,75,8,42,0.9868
A000371,P000371,2026-01-24,L002,M004,白班,60,8,14,1.0
A000372,P000372,2026-01-24,L002,M004,夜班,69,8,23,0.9583
A000373,P000373,2026-01-24,L003,M003,白班,58,8,9,1.0357
A000374,P000374,2026-01-24,L003,M004,夜班,52,8,48,0.7879
A000375,P000375,2026-01-24,L004,M002,白班,59,8,19,0.9516
A000376,P000376,2026-01-24,L004,M001,夜班,55,8,28,1.0
A000377,P000377,2026-01-24,L005,M005,白班,55,8,38,1.0185
A000378,P000378,2026-01-24,L005,M005,夜班,48,8,18,0.9796
A000379,P000379,2026-01-24,L006,M005,白班,43,8,40,1.0
A000380,P000380,2026-01-24,L006,M005,夜班,49,8,12,0.98
A000381,P000381,2026-01-24,L007,M008,白班,43,8,30,1.0
A000382,P000382,2026-01-24,L007,M007,夜班,38,8,12,1.027
A000383,P000383,2026-01-24,L008,M001,白班,67,8,19,0.9178
A000384,P000384,2026-01-24,L008,M007,夜班,59,8,19,1.0172
A000385,P000385,2026-01-25,L001,M001,白班,60,8,2,1.0
A000386,P000386,2026-01-25,L001,M001,夜班,51,8,21,0.9444
A000387,P000387,2026-01-25,L002,M004,白班,44,8,29,0.9362
A000388,P000388,2026-01-25,L002,M004,夜班,51,8,3,1.02
A000389,P000389,2026-01-25,L003,M004,白班,43,8,25,0.9773
A000390,P000390,2026-01-25,L003,M004,夜班,37,8,69,0.8222
A000391,P000391,2026-01-25,L004,M001,白班,41,8,4,0.9762
A000392,P000392,2026-01-25,L004,M002,夜班,44,8,0,1.0
A000393,P000393,2026-01-25,L005,M006,白班,34,8,14,0.9444
