energy_id,usage_date,workshop,line_id,model_id,shift,electricity_kwh,water_ton,gas_m3,energy_per_vehicle
E000145,2026-01-10,总装车间,L001,M002,白班,8346.8,17.9,40.5,111.29
E000146,2026-01-10,总装车间,L001,M002,夜班,8719.0,18.9,57.7,116.25
E000147,2026-01-10,焊装车间,L002,M004,白班,10913.3,20.8,31.6,170.52
E000148,2026-01-10,焊装车间,L002,M004,夜班,9547.8,12.1,50.4,151.55
E000149,2026-01-10,总装车间,L003,M003,白班,7608.6,15.5,78.1,138.34
E000150,2026-01-10,总装车间,L003,M004,夜班,10607.6,19.7,38.1,173.9
E000151,2026-01-10,涂装车间,L004,M002,白班,6352.9,16.9,24.5,132.35
E000152,2026-01-10,涂装车间,L004,M001,夜班,5904.8,17.4,52.0,120.51
E000153,2026-01-10,总装车间,L005,M005,白班,9637.2,13.4,62.7,229.46
E000154,2026-01-10,总装车间,L005,M005,夜班,10018.6,10.4,43.9,238.54
E000155,2026-01-10,焊装车间,L006,M005,白班,8971.5,13.0,56.5,230.04
E000156,2026-01-10,焊装车间,L006,M006,夜班,12312.4,13.7,32.0,267.66
E000157,2026-01-10,总装车间,L007,M008,白班,8527.4,11.7,26.5,230.47
E000158,2026-01-10,总装车间,L007,M007,夜班,9003.6,13.9,43.0,200.08
E000159,2026-01-10,检测车间,L008,M003,白班,8899.4,18.5,93.5,132.83
E000160,2026-01-10,检测车间,L008,M003,夜班,9582.8,20.6,81.4,134.97
E000161,2026-01-11,总装车间,L001,M002,白班,7068.2,12.2,48.8,115.87
E000162,2026-01-11,总装车间,L001,M002,夜班,7734.7,14.2,37.4,119.0
E000163,2026-01-11,焊装车间,L002,M003,白班,5836.8,14.6,56.8,132.65
E000164,2026-01-11,焊装车间,L002,M004,夜班,7492.0,12.5,35.8,152.9
E000165,2026-01-11,总装车间,L003,M004,白班,7168.0,11.5,37.2,149.33
E000166,2026-01-11,总装车间,L003,M004,夜班,7028.8,9.0,30.8,167.35
E000167,2026-01-11,涂装车间,L004,M002,白班,5535.7,16.1,29.3,117.78
E000168,2026-01-11,涂装车间,L004,M001,夜班,5480.7,10.6,57.1,121.79
E000169,2026-01-11,总装车间,L005,M005,白班,8390.3,9.9,34.6,226.76
E000170,2026-01-11,总装车间,L005,M005,夜班,7599.4,6.4,40.0,230.28
E000171,2026-01-11,焊装车间,L006,M006,白班,9941.2,11.3,22.2,268.68
E000172,2026-01-11,焊装车间,L006,M006,夜班,10739.5,10.9,20.3,298.32
E000173,2026-01-11,总装车间,L007,M007,白班,6748.9,9.0,30.9,192.83
E000174,2026-01-11,总装车间,L007,M008,夜班,8033.3,8.9,23.6,223.15
E000175,2026-01-11,检测车间,L008,M006,白班,13220.0,14.9,47.0,240.36
E000176,2026-01-11,检测车间,L008,M002,夜班,5288.9,13.1,29.9,107.94
E000177,2026-01-12,总装车间,L001,M001,白班,7724.1,19.2,106.6,96.55
E000178,2026-01-12,总装车间,L001,M002,夜班,10513.4,25.3,50.9,120.84
E000179,2026-01-12,焊装车间,L002,M004,白班,10895.1,15.1,34.5,162.61
E000180,2026-01-12,焊装车间,L002,M004,夜班,11892.5,18.7,68.2,150.54
E000181,2026-01-12,总装车间,L003,M004,白班,9451.4,16.6,48.6,160.19
E000182,2026-01-12,总装车间,L003,M004,夜班,8076.1,14.3,43.9,152.38
E000183,2026-01-12,涂装车间,L004,M002,白班,6846.6,18.5,31.0,118.04
E000184,2026-01-12,涂装车间,L004,M002,夜班,7724.9,22.1,54.2,118.84
E000185,2026-01-12,总装车间,L005,M005,白班,9405.1,9.0,59.7,213.75
E000186,2026-01-12,总装车间,L005,M006,夜班,13262.6,12.2,38.3,260.05
E000187,2026-01-12,焊装车间,L006,M006,白班,14404.6,15.3,43.6,282.44
E000188,2026-01-12,焊装车间,L006,M006,夜班,12332.6,15.5,32.9,274.06
E000189,2026-01-12,总装车间,L007,M008,白班,9403.2,11.4,38.4,208.96
E000190,2026-01-12,总装车间,L007,M007,夜班,7884.5,12.5,59.5,192.3
E000191,2026-01-12,检测车间,L008,M003,白班,8152.5,19.4,95.0,118.15
E000192,2026-01-12,检测车间,L008,M001,夜班,6532.3,17.4,90.1,98.97
E000193,2026-01-13,总装车间,L001,M001,白班,7195.3,16.0,76.9,98.57
E000194,2026-01-13,总装车间,L001,M002,夜班,8712.8,22.8,47.9,113.15
E000195,2026-01-13,焊装车间,L002,M003,白班,8869.8,21.3,84.5,132.39
E000196,2026-01-13,焊装车间,L002,M004,夜班,13080.0,21.5,55.0,167.69
E000197,2026-01-13,总装车间,L003,M004,白班,9805.8,17.7,55.5,148.57
E000198,2026-01-13,总装车间,L003,M004,夜班,9507.5,16.1,31.7,172.86
E000199,2026-01-13,涂装车间,L004,M002,白班,6796.7,13.1,37.9,117.18
E000200,2026-01-13,涂装车间,L004,M002,夜班,8320.1,16.8,39.5,134.2
E000201,2026-01-13,总装车间,L005,M006,白班,11509.2,14.6,31.7,250.2
E000202,2026-01-13,总装车间,L005,M006,夜班,16733.5,15.9,46.0,283.62
E000203,2026-01-13,焊装车间,L006,M006,白班,16088.7,12.9,49.2,282.26
E000204,2026-01-13,焊装车间,L006,M006,夜班,13656.1,11.4,39.5,284.5
E000205,2026-01-13,总装车间,L007,M008,白班,10043.4,11.6,25.3,218.33
E000206,2026-01-13,总装车间,L007,M007,夜班,9651.8,16.2,43.6,201.08
E000207,2026-01-13,检测车间,L008,M006,白班,18634.9,17.2,49.1,230.06
E000208,2026-01-13,检测车间,L008,M002,夜班,6823.0,18.1,32.9,108.3
E000209,2026-01-14,总装车间,L001,M001,白班,7819.4,21.4,81.8,94.21
E000210,2026-01-14,总装车间,L001,M002,夜班,9884.6,24.7,62.3,113.62
E000211,2026-01-14,焊装车间,L002,M004,白班,9633.9,18.8,56.6,148.21
E000212,2026-01-14,焊装车间,L002,M003,夜班,10187.0,22.5,80.9,139.55
E000213,2026-01-14,总装车间,L003,M003,白班,8726.2,14.3,58.3,143.05
E000214,2026-01-14,总装车间,L003,M004,夜班,10120.0,12.6,38.0,153.33
E000215,2026-01-14,涂装车间,L004,M001,白班,6077.5,19.5,73.4,101.29
E000216,2026-01-14,涂装车间,L004,M002,夜班,6661.2,17.7,36.4,123.36
E000217,2026-01-14,总装车间,L005,M005,白班,11924.9,14.8,58.1,220.83
E000218,2026-01-14,总装车间,L005,M006,夜班,12734.2,13.9,24.6,265.3
E000219,2026-01-14,焊装车间,L006,M005,白班,11053.0,14.5,62.3,245.62
E000220,2026-01-14,焊装车间,L006,M005,夜班,12247.1,17.6,56.4,222.67
E000221,2026-01-14,总装车间,L007,M007,白班,7084.4,13.1,38.6,181.65
E000222,2026-01-14,总装车间,L007,M008,夜班,7770.3,8.0,27.7,210.01
E000223,2026-01-14,检测车间,L008,M001,白班,5115.1,17.2,88.0,83.85
E000224,2026-01-14,检测车间,L008,M003,夜班,7640.2,18.3,71.3,123.23
E000225,2026-01-15,总装车间,L001,M001,白班,7716.0,20.4,80.8,91.86
E000226,2026-01-15,总装车间,L001,M002,夜班,9733.7,21.0,67.5,120.17
E000227,2026-01-15,焊装车间,L002,M004,白班,10269.5,12.8,37.8,168.35
E000228,2026-01-15,焊装车间,L002,M003,夜班,9462.1,18.6,100.9,139.15
E000229,2026-01-15,总装车间,L003,M004,白班,9257.3,11.0,51.1,156.9
E000230,2026-01-15,总装车间,L003,M004,夜班,10248.1,11.9,35.1,160.13
E000231,2026-01-15,涂装车间,L004,M002,白班,8016.5,20.4,56.5,119.65
E000232,2026-01-15,涂装车间,L004,M001,夜班,6672.7,13.3,74.0,115.05
E000233,2026-01-15,总装车间,L005,M005,白班,10368.7,10.0,58.3,207.37
E000234,2026-01-15,总装车间,L005,M005,夜班,10795.1,13.5,47.5,224.9
E000235,2026-01-15,焊装车间,L006,M005,白班,11148.3,11.7,61.2,237.2
E000236,2026-01-15,焊装车间,L006,M005,夜班,10885.0,14.5,53.2,253.14
E000237,2026-01-15,总装车间,L007,M008,白班,9313.2,10.2,22.0,211.66
E000238,2026-01-15,总装车间,L007,M007,夜班,10333.7,17.1,77.1,198.73
E000239,2026-01-15,检测车间,L008,M004,白班,8813.1,12.9,47.1,146.89
E000240,2026-01-15,检测车间,L008,M004,夜班,10217.7,16.2,45.5,150.26
E000241,2026-01-16,总装车间,L001,M002,白班,10172.4,25.9,54.4,113.03
E000242,2026-01-16,总装车间,L001,M002,夜班,10238.7,19.6,67.8,121.89
E000243,2026-01-16,焊装车间,L002,M003,白班,11315.5,25.3,101.5,136.33
E000244,2026-01-16,焊装车间,L002,M004,夜班,10705.4,18.1,35.9,157.43
E000245,2026-01-16,总装车间,L003,M003,白班,8986.3,12.9,96.1,144.94
E000246,2026-01-16,总装车间,L003,M004,夜班,9203.9,19.5,32.5,153.4
E000247,2026-01-16,涂装车间,L004,M001,白班,7323.1,16.8,69.6,107.69
E000248,2026-01-16,涂装车间,L004,M002,夜班,7927.5,18.5,29.4,136.68
E000249,2026-01-16,总装车间,L005,M005,白班,12835.2,15.9,64.9,221.3
E000250,2026-01-16,总装车间,L005,M005,夜班,11588.1,15.5,80.4,222.85
E000251,2026-01-16,焊装车间,L006,M006,白班,12275.8,10.6,39.6,255.75
E000252,2026-01-16,焊装车间,L006,M006,夜班,16180.6,15.7,43.6,278.98
E000253,2026-01-16,总装车间,L007,M007,白班,9184.2,15.4,66.4,199.66
E000254,2026-01-16,总装车间,L007,M007,夜班,8794.0,13.5,43.9,214.49
E000255,2026-01-16,检测车间,L008,M008,白班,12295.3,15.6,44.6,186.29
E000256,2026-01-16,检测车间,L008,M003,夜班,8762.9,13.3,72.3,132.77
E000257,2026-01-17,总装车间,L001,M001,白班,8116.8,14.9,73.0,98.99
E000258,2026-01-17,总装车间,L001,M002,夜班,8679.6,19.7,41.4,115.73
E000259,2026-01-17,焊装车间,L002,M004,白班,10696.0,15.0,41.6,152.8
E000260,2026-01-17,焊装车间,L002,M003,夜班,9149.2,14.6,66.1,147.57
E000261,2026-01-17,总装车间,L003,M003,白班,9228.6,18.4,71.1,133.75
E000262,2026-01-17,总装车间,L003,M003,夜班,7356.7,11.9,47.9,159.93
E000263,2026-01-17,涂装车间,L004,M001,白班,6008.1,16.5,68.1,107.29
E000264,2026-01-17,涂装车间,L004,M002,夜班,6145.7,15.1,33.4,122.91
E000265,2026-01-17,总装车间,L005,M005,白班,9083.3,9.3,59.4,227.08
E000266,2026-01-17,总装车间,L005,M005,夜班,9243.2,12.8,60.2,225.44
E000267,2026-01-17,焊装车间,L006,M005,白班,11953.2,12.6,59.0,249.03
E000268,2026-01-17,焊装车间,L006,M006,夜班,12560.0,13.2,31.7,299.05
E000269,2026-01-17,总装车间,L007,M007,白班,8150.5,10.1,44.1,203.76
E000270,2026-01-17,总装车间,L007,M007,夜班,8343.0,12.3,65.1,189.61
E000271,2026-01-17,检测车间,L008,M003,白班,9331.0,18.5,72.6,129.6
E000272,2026-01-17,检测车间,L008,M002,夜班,7060.3,17.7,55.6,106.97
E000273,2026-01-18,总装车间,L001,M001,白班,4915.8,14.9,69.6,96.39
E000274,2026-01-18,总装车间,L001,M001,夜班,5083.4,9.7,67.4,97.76
E000275,2026-01-18,焊装车间,L002,M003,白班,7723.2,14.6,81.2,140.42
E000276,2026-01-18,焊装车间,L002,M003,夜班,6592.8,13.2,61.8,153.32
E000277,2026-01-18,总装车间,L003,M004,白班,6547.5,13.9,30.3,152.27
E000278,2026-01-18,总装车间,L003,M004,夜班,6903.6,7.7,30.4,177.02
E000279,2026-01-18,涂装车间,L004,M001,白班,4697.4,13.2,47.6,104.39
E000280,2026-01-18,涂装车间,L004,M001,夜班,4567.7,10.6,39.6,114.19
E000281,2026-01-18,总装车间,L005,M006,白班,8851.8,9.4,25.0,268.24
E000282,2026-01-18,总装车间,L005,M006,夜班,11113.0,11.4,30.3,284.95
E000283,2026-01-18,焊装车间,L006,M006,白班,9876.3,8.1,19.9,290.48
E000284,2026-01-18,焊装车间,L006,M006,夜班,10178.5,11.3,30.8,267.86
E000285,2026-01-18,总装车间,L007,M007,白班,5872.4,8.7,49.4,183.51
E000286,2026-01-18,总装车间,L007,M008,夜班,6584.4,8.4,23.4,212.4
E000287,2026-01-18,检测车间,L008,M002,白班,5615.3,12.1,29.3,112.31
E000288,2026-01-18,检测车间,L008,M007,夜班,7995.1,11.5,54.4,185.93
E000289,2026-01-19,总装车间,L001,M001,白班,7902.4,13.9,112.5,102.63
E000290,2026-01-19,总装车间,L001,M002,夜班,8370.0,22.3,53.9,116.25
E000291,2026-01-19,焊装车间,L002,M004,白班,10467.1,22.7,42.6,149.53
E000292,2026-01-19,焊装车间,L002,M003,夜班,10178.6,19.9,85.0,137.55
E000293,2026-01-19,总装车间,L003,M003,白班,8708.9,16.6,93.3,138.24
E000294,2026-01-19,总装车间,L003,M003,夜班,8380.5,12.5,77.7,149.65
E000295,2026-01-19,涂装车间,L004,M001,白班,7115.3,16.5,56.2,111.18
E000296,2026-01-19,涂装车间,L004,M001,夜班,6046.5,15.2,51.5,116.28
E000297,2026-01-19,总装车间,L005,M005,白班,13877.2,19.2,88.0,239.26
E000298,2026-01-19,总装车间,L005,M006,夜班,14721.0,10.9,41.4,258.26
E000299,2026-01-19,焊装车间,L006,M005,白班,12289.0,13.2,43.2,245.78
E000300,2026-01-19,焊装车间,L006,M006,夜班,15568.5,16.5,28.0,299.39
E000301,2026-01-19,总装车间,L007,M008,白班,11234.3,15.6,30.7,224.69
E000302,2026-01-19,总装车间,L007,M007,夜班,9868.6,9.3,71.7,209.97
E000303,2026-01-19,检测车间,L008,M007,白班,13024.0,15.1,98.3,183.44
E000304,2026-01-19,检测车间,L008,M003,夜班,8180.3,18.1,79.3,127.82
E000305,2026-01-20,总装车间,L001,M002,白班,8940.5,24.3,45.1,111.76
E000306,2026-01-20,总装车间,L001,M001,夜班,7506.0,14.8,121.2,93.83
E000307,2026-01-20,焊装车间,L002,M003,白班,10207.2,14.7,93.3,139.82
E000308,2026-01-20,焊装车间,L002,M003,夜班,9784.3,15.1,83.8,152.88
E000309,2026-01-20,总装车间,L003,M004,白班,10034.0,13.8,40.5,156.78
E000310,2026-01-20,总装车间,L003,M004,夜班,9880.4,18.0,42.4,170.35
E000311,2026-01-20,涂装车间,L004,M001,白班,6026.3,12.5,82.4,103.9
E000312,2026-01-20,涂装车间,L004,M002,夜班,7957.7,15.3,51.3,134.88
E000313,2026-01-20,总装车间,L005,M005,白班,12043.1,13.2,65.9,231.6
E000314,2026-01-20,总装车间,L005,M005,夜班,13717.6,15.3,53.2,244.96
E000315,2026-01-20,焊装车间,L006,M005,白班,10594.9,11.8,44.1,246.39
E000316,2026-01-20,焊装车间,L006,M006,夜班,12622.1,15.0,30.5,268.56
E000317,2026-01-20,总装车间,L007,M008,白班,9477.2,9.2,27.2,210.6
E000318,2026-01-20,总装车间,L007,M007,夜班,9118.8,15.3,44.8,202.64
E000319,2026-01-20,检测车间,L008,M005,白班,14139.6,14.1,70.0,220.93
E000320,2026-01-20,检测车间,L008,M008,夜班,13066.0,20.2,40.4,195.01
E000321,2026-01-21,总装车间,L001,M002,白班,8092.0,15.3,54.9,110.85
E000322,2026-01-21,总装车间,L001,M001,夜班,8961.9,18.8,127.5,96.36
E000323,2026-01-21,焊装车间,L002,M004,白班,11609.9,20.2,41.2,150.78
E000324,2026-01-21,焊装车间,L002,M003,夜班,9349.3,20.8,102.0,135.5
